"Уникальный код улицы";"Наименование улицы для поиска, сортировки";"Действующее на данный момент наименование улицы для документов";"Действующее наименование для документов, приведенное к написанию наименования по ОМК УМ, но с сокращениями географических терминов";"Короткое наименование улицы МосгорБТИ";"Наименование  улицы по ОМК УМ";"Код состояния наименования";"Признак действующего наименования (1 — да, 0 — нет)";"Территориальная принадлежность улицы (коды районов)";"Примечание";"Код документа, на основании которого произведен ввод наименования";"Номер документа, на основании которого произведен ввод наименования";"Дата документа, на основании которого произведен ввод наименования";"Стандартизованная дата документа, на основании которого произведен ввод наименования";"Код «родителей» (ретроспектива)";"Код «потомков» (перспектива)";"Код улицы как физического объекта";"Дата ввода в Базу данных";"Основное наименование (без типа топонима)";"Код типа топонима";"Признак принадлежности к ОМК УМ";"Признак удаления";"Состояние наименования  улицы";"Документ, на основании которого произведен ввод наименования";"Наименование типа топонима";"Состояние подписи";
"4768";"Пилюгина Академика ул.";"Пилюгина Академика ул.";"ул. Академика Пилюгина";"Пилюгина Академика ул.";"улица Академика Пилюгина";"1";"1";"611,613";"";"3";"";"16.12.1982";"16.12.1982 00:00:00";"";"";"20651";"03.12.1986 00:00:00";"Академика Пилюгина";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4779";"Планетная ул.";"Планетная ул.";"Планетная ул.";"Планетная ул.";"Планетная улица";"1";"1";"901";"";"3";"";"27.01.1967";"27.01.1967 00:00:00";"";"";"20800";"01.11.1980 00:00:00";"Планетная";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4791";"Поварская ул.";"Поварская ул.";"Поварская ул.";"Поварская ул.";"Поварская улица";"1";"1";"102,109";"";"1";"№ 968-ПП";"25.10.1994";"25.10.1994 00:00:00";"876";"";"4060";"13.04.1992 00:00:00";"Поварская";"1";"1";"0";"действующее наи";"Пост-ие Прав-ва";"ул.";"Запись не подписана";
"4794";"Погорельский пер.";"Погорельский пер.";"Погорельский пер.";"Погорельский пер.";"Погорельский переулок";"1";"1";"117";"";"3";"";"07.06.1922";"07.06.1922 00:00:00";"";"";"20920";"01.11.1980 00:00:00";"Погорельский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"4795";"Подбельского 1-й пр.";"Подбельского 1-й пр.";"1-й пр. Подбельского";"Подбельского 1-й пр.";"1-й проезд Подбельского";"1";"1";"301";"";"3";"";"1990 г.";"01.01.1990 00:00:00";"";"";"20940";"06.08.1992 00:00:00";"1-й Подбельского";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
"4814";"Подрезковская 3-я ул.";"Подрезковская 3-я ул.";"3-я Подрезковская ул.";"Подрезковская 3-я ул.";"3-я Подрезковская улица";"1";"1";"922";"";"3";"";"06.02.1986";"06.02.1986 00:00:00";"";"";"21049";"11.03.1986 00:00:00";"3-я Подрезковская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4822";"Покровская 1-я ул.";"Покровская 1-я ул.";"1-я Покровская ул.";"Покровская 1-я ул.";"1-я Покровская улица";"2";"0";"535";"";"3";"";"1968 г.";"01.01.1968 00:00:00";"";"1481";"64822";"06.08.1992 00:00:00";"1-я Покровская";"1";"0";"0";"прежнее наимено";"архивные данные";"ул.";"Запись не подписана";
"4825";"Покровский бульв.";"Покровский бульв.";"Покровский бульв.";"Покровский бульв.";"Покровский бульвар";"1";"1";"101";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"21220";"14.02.1990 00:00:00";"Покровский";"8";"1";"0";"действующее наи";"архивные данные";"бульв.";"Запись не подписана";
"4827";"Полбина ул.";"Полбина ул.";"ул. Полбина";"Полбина ул.";"улица Полбина";"1";"1";"417";"";"3";"";"07.12.1971";"07.12.1971 00:00:00";"";"";"21290";"01.11.1980 00:00:00";"Полбина";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4833";"Полевой 2-й пер.";"Полевой 2-й пер.";"2-й Полевой пер.";"Полевой 2-й пер.";"2-й Полевой переулок";"1";"1";"329";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"21311";"06.08.1990 00:00:00";"2-й Полевой";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"4862";"Поляны н.п.";"Поляны н.п.";"н.п. Поляны";"Поляны н.п.";"населённый пункт Поляны";"2";"0";"621";"";"9";"";"";"";"";"5010";"64862";"05.03.1985 00:00:00";"Поляны";"27";"0";"0";"прежнее наимено";"нет данных";"н.п.";"Запись не подписана";
"4869";"Попутная ул.";"Попутная ул.";"Попутная ул.";"Попутная ул.";"Попутная улица";"1";"1";"729";"";"3";"";"26.11.1984";"26.11.1984 00:00:00";"4493";"";"21585";"26.11.1984 00:00:00";"Попутная";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4877";"Потылиха ул.";"Потылиха ул.";"ул. Потылиха";"Потылиха ул.";"улица Потылиха";"1";"1";"703";"";"3";"";"13.04.1967";"13.04.1967 00:00:00";"";"";"20073";"31.01.1995 00:00:00";"Потылиха";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4895";"Пречистенская наб.";"Пречистенская наб.";"Пречистенская наб.";"Пречистенская наб.";"Пречистенская набережная";"1";"1";"115";"";"1";"№ 968-ПП";"25.10.1994";"25.10.1994 00:00:00";"2562";"";"12300";"31.01.1995 00:00:00";"Пречистенская";"5";"1";"0";"действующее наи";"Пост-ие Прав-ва";"наб.";"Запись не подписана";
